23	phi	reg	11	gb	L	-7	Sun	9/12/2010
24	pit	reg	1	atl	W	6	Sun	9/12/2010
27	sea	reg	26	sf	W	25	Sun	9/12/2010
28	la	reg	0	ari	L	-4	Sun	9/12/2010
29	tb	reg	7	cle	W	3	Sun	9/12/2010
30	ten	reg	22	oak	W	25	Sun	9/12/2010
31	wsh	reg	8	dal	W	6	Sun	9/12/2010
15	kc	reg	25	sd	W	7	Mon	9/13/2010
21	nyj	reg	2	bal	L	-1	Mon	9/13/2010
1	atl	reg	0	ari	W	34	Sun	9/19/2010
4	car	reg	29	tb	L	-13	Sun	9/19/2010
6	cin	reg	2	bal	W	5	Sun	9/19/2010
7	cle	reg	15	kc	L	-2	Sun	9/19/2010
8	dal	reg	5	chi	L	-7	Sun	9/19/2010
9	den	reg	27	sea	W	17	Sun	9/19/2010
10	det	reg	23	phi	L	-3	Sun	9/19/2010
11	gb	reg	3	buf	W	27	Sun	9/19/2010
13	ind	reg	20	nyg	W	24	Sun	9/19/2010
17	min	reg	16	mia	L	-4	Sun	9/19/2010
21	nyj	reg	18	ne	W	14	Sun	9/19/2010
22	oak	reg	28	la	W	2	Sun	9/19/2010
25	sd	reg	14	jax	W	25	Sun	9/19/2010
30	ten	reg	24	pit	L	-8	Sun	9/19/2010
31	wsh	reg	12	hou	L	-3	Sun	9/19/2010
26	sf	reg	19	no	L	-3	Mon	9/20/2010
0	ari	reg	22	oak	W	1	Sun	9/26/2010
2	bal	reg	7	cle	W	7	Sun	9/26/2010
4	car	reg	6	cin	L	-13	Sun	9/26/2010
9	den	reg	13	ind	L	-14	Sun	9/26/2010
12	hou	reg	8	dal	L	-14	Sun	9/26/2010
14	jax	reg	23	phi	L	-25	Sun	9/26/2010
15	kc	reg	26	sf	W	21	Sun	9/26/2010
16	mia	reg	21	nyj	L	-8	Sun	9/26/2010
17	min	reg	10	det	W	14	Sun	9/26/2010
18	ne	reg	3	buf	W	8	Sun	9/26/2010
19	no	reg	1	atl	L	-3	Sun	9/26/2010
20	nyg	reg	30	ten	L	-19	Sun	9/26/2010
27	sea	reg	25	sd	W	7	Sun	9/26/2010
28	la	reg	31	wsh	W	14	Sun	9/26/2010
29	tb	reg	24	pit	L	-25	Sun	9/26/2010
5	chi	reg	11	gb	W	3	Mon	9/27/2010
1	atl	reg	26	sf	W	2	Sun	10/3/2010
3	buf	reg	21	nyj	L	-24	Sun	10/3/2010
7	cle	reg	6	cin	W	3	Sun	10/3/2010
11	gb	reg	10	det	W	2	Sun	10/3/2010
14	jax	reg	13	ind	W	3	Sun	10/3/2010
19	no	reg	4	car	W	2	Sun	10/3/2010
20	nyg	reg	5	chi	W	14	Sun	10/3/2010
22	oak	reg	12	hou	L	-7	Sun	10/3/2010
23	phi	reg	31	wsh	L	-5	Sun	10/3/2010
24	pit	reg	2	bal	L	-3	Sun	10/3/2010
25	sd	reg	0	ari	W	31	Sun	10/3/2010
28	la	reg	27	sea	W	17	Sun	10/3/2010
30	ten	reg	9	den	L	-6	Sun	10/3/2010
16	mia	reg	18	ne	L	-27	Mon	10/4/2010
0	ari	reg	19	no	W	10	Sun	10/10/2010
2	bal	reg	9	den	W	14	Sun	10/10/2010
3	buf	reg	14	jax	L	-10	Sun	10/10/2010
4	car	reg	5	chi	L	-17	Sun	10/10/2010
6	cin	reg	29	tb	L	-3	Sun	10/10/2010
7	cle	reg	1	atl	L	-10	Sun	10/10/2010
8	dal	reg	30	ten	L	-7	Sun	10/10/2010
10	det	reg	28	la	W	38	Sun	10/10/2010
12	hou	reg	20	nyg	L	-24	Sun	10/10/2010
13	ind	reg	15	kc	W	10	Sun	10/10/2010
22	oak	reg	25	sd	W	8	Sun	10/10/2010
26	sf	reg	23	phi	L	-3	Sun	10/10/2010
31	wsh	reg	11	gb	W	3	Sun	10/10/2010
21	nyj	reg	17	min	W	9	Mon	10/11/2010
5	chi	reg	27	sea	L	-3	Sun	10/17/2010
9	den	reg	21	nyj	L	-4	Sun	10/17/2010
11	gb	reg	16	mia	L	-3	Sun	10/17/2010
12	hou	reg	15	kc	W	4	Sun	10/17/2010
17	min	reg	8	dal	W	3	Sun	10/17/2010
18	ne	reg	2	bal	W	3	Sun	10/17/2010
20	nyg	reg	10	det	W	8	Sun	10/17/2010
23	phi	reg	1	atl	W	14	Sun	10/17/2010
24	pit	reg	7	cle	W	18	Sun	10/17/2010
26	sf	reg	22	oak	W	8	Sun	10/17/2010
28	la	reg	25	sd	W	3	Sun	10/17/2010
29	tb	reg	19	no	L	-25	Sun	10/17/2010
31	wsh	reg	13	ind	L	-3	Sun	10/17/2010
14	jax	reg	30	ten	L	-27	Mon	10/18/2010
1	atl	reg	6	cin	W	7	Sun	10/24/2010
2	bal	reg	3	buf	W	3	Sun	10/24/2010
4	car	reg	26	sf	W	3	Sun	10/24/2010
5	chi	reg	31	wsh	L	-3	Sun	10/24/2010
9	den	reg	22	oak	L	-45	Sun	10/24/2010
11	gb	reg	17	min	W	4	Sun	10/24/2010
15	kc	reg	14	jax	W	22	Sun	10/24/2010
16	mia	reg	24	pit	L	-1	Sun	10/24/2010
19	no	reg	7	cle	L	-13	Sun	10/24/2010
25	sd	reg	18	ne	L	-3	Sun	10/24/2010
27	sea	reg	0	ari	W	12	Sun	10/24/2010
29	tb	reg	28	la	W	1	Sun	10/24/2010
30	ten	reg	23	phi	W	18	Sun	10/24/2010
8	dal	reg	20	nyg	L	-6	Mon	10/25/2010
0	ari	reg	29	tb	L	-3	Sun	10/31/2010
6	cin	reg	16	mia	L	-8	Sun	10/31/2010
8	dal	reg	14	jax	L	-18	Sun	10/31/2010
10	det	reg	31	wsh	W	12	Sun	10/31/2010
15	kc	reg	3	buf	W	3	Sun	10/31/2010
18	ne	reg	17	min	W	10	Sun	10/31/2010
19	no	reg	24	pit	W	10	Sun	10/31/2010
21	nyj	reg	11	gb	L	-9	Sun	10/31/2010
22	oak	reg	27	sea	W	30	Sun	10/31/2010
